"","pass_type","weekend","rides_1d","rides_3d"
"1",0,0,1,3
"2",0,0,1,3
"3",0,0,3,9
"4",0,0,1,3
"5",0,0,1,3
"6",0,0,1,3
"7",0,0,2,6
"8",0,0,1,3
"9",0,0,1,3
"10",0,0,2,6
"11",0,0,1,3
"12",0,0,1,3
"13",0,0,3,9
"14",0,0,1,3
"15",0,0,1,3
"16",0,0,1,3
"17",0,0,1,3
"18",0,0,1,3
"19",0,0,2,6
"20",0,0,1,3
"21",0,0,1,3
"22",0,0,1,3
"23",0,0,2,6
"24",0,0,2,6
"25",0,0,1,3
"26",0,0,1,3
"27",0,0,1,3
"28",0,0,1,3
"29",0,0,1,3
"30",0,0,1,3
"31",0,0,3,9
"32",0,0,1,3
"33",0,0,1,3
"34",0,0,2,6
"35",0,0,1,3
"36",0,0,1,3
"37",0,0,1,3
"38",0,0,1,3
"39",0,0,3,9
"40",0,0,1,3
"41",0,0,1,3
"42",0,0,1,3
"43",0,0,2,6
"44",0,0,2,6
"45",0,0,1,3
"46",0,0,2,6
"47",0,0,1,3
"48",0,0,1,3
"49",0,0,1,3
"50",0,0,2,6
"51",0,0,1,3
"52",0,0,1,3
"53",0,0,1,3
"54",0,0,2,6
"55",0,0,1,3
"56",0,0,2,6
"57",0,0,2,6
"58",0,0,1,3
"59",0,0,1,3
"60",0,0,1,3
"61",0,0,2,6
"62",0,0,3,9
"63",0,0,1,3
"64",0,0,1,3
"65",0,0,1,3
"66",0,0,1,3
"67",0,0,1,3
"68",0,0,1,3
"69",0,0,5,15
"70",0,0,1,3
"71",0,0,1,3
"72",0,0,1,3
"73",0,0,2,6
"74",0,0,3,9
"75",0,0,1,3
"76",0,0,2,6
"77",0,0,2,6
"78",0,0,2,6
"79",0,0,1,3
"80",0,0,1,3
"81",0,0,1,3
"82",0,0,2,6
"83",0,0,3,9
"84",0,0,1,3
"85",0,0,1,3
"86",0,0,1,3
"87",0,0,2,6
"88",0,0,1,3
"89",0,0,1,3
"90",0,0,1,3
"91",0,0,2,6
"92",0,0,1,3
"93",0,0,1,3
"94",0,0,4,12
"95",0,0,1,3
"96",0,0,1,3
"97",0,0,1,3
"98",0,0,1,3
"99",0,0,2,6
"100",0,0,1,3
"101",0,0,1,3
"102",0,0,1,3
"103",0,0,1,3
"104",0,0,1,3
"105",0,0,1,3
"106",0,0,1,3
"107",0,0,2,6
"108",0,0,1,3
"109",0,0,3,9
"110",0,0,3,9
"111",0,0,1,3
"112",0,0,1,3
"113",0,0,1,3
"114",0,0,1,3
"115",0,0,1,3
"116",0,0,2,6
"117",0,0,2,6
"118",0,0,1,3
"119",0,0,1,3
"120",0,0,1,3
"121",0,0,3,9
"122",0,0,1,3
"123",0,0,1,3
"124",0,0,1,3
"125",0,0,1,3
"126",0,0,1,3
"127",0,0,1,3
"128",0,0,1,3
"129",0,0,1,3
"130",0,0,2,6
"131",0,0,1,3
"132",0,0,1,3
"133",0,0,1,3
"134",0,0,1,3
"135",0,0,1,3
"136",0,0,1,3
"137",0,0,1,3
"138",0,0,1,3
"139",0,0,2,6
"140",0,0,2,6
"141",0,0,1,3
"142",0,0,1,3
"143",0,0,1,3
"144",0,0,4,12
"145",0,0,1,3
"146",0,0,1,3
"147",0,0,1,3
"148",0,0,1,3
"149",0,0,1,3
"150",0,0,2,6
